Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Colorful;Blu-Ray/DVD + DVD;Coleccionista;3;Keiichi Hara;2010;Animación. Fantástico. Drama | Sobrenatural.;Selecta Visión. Sunrise. Toho. 20th Century Fox. Pelicula en DVD y BR. Incluye DVD de extras y libro. Edición 2014. Sitges 2010;
Sarusuberi: Miss Hokusai;Blu-Ray/DVD + DVD;Coleccionista;3;Keiichi Hara;2015;Animación. Drama | Siglo XIX. Japón feudal. Manga.;Selecta Visión. Production I.G. 20th Century Fox. Pelicula en DVD y BR. Incluye DVD de extras y libro. Edición 2015. Sitges 2015;
La chica que saltaba a través del tiempo;Blu-Ray/DVD + DVD;Coleccionista;3;Mamoru Hosoda;2006;Animación. Ciencia ficción. Romance. Drama;Selecta Visión. Mad House Ltd. 20th Century Fox. Sitges 2007. Pelicula en DVD y BR. Incluye DVD de extras y libro. doblaje catalán. Ed. 2013;
Summer Wars;Blu-Ray/DVD + DVD;Coleccionista;3;Mamoru Hosoda;2009;Animación. Fantástico. Ciencia ficción. Comedia;Selecta Visión. Viz Media. NTV (Nippon Television Network). 20th Century Fox. Pelicula en DVD y BR. Incluye DVD de extras y libro. Edición 2013;
Los niños lobo (Wolf Children);Blu-Ray/DVD + DVD;Coleccionista;3;Mamoru Hosoda;2012;Animación. Drama. Fantástico | Familia.;Selecta Visión. Studio Chizu. Madhouse. Nippon TV. Toho. Viz media. 20TH Century Fox. Pelicula en DVD y BR. Incluye DVD de extras y libro. Edición 2013;
Viaje a Agartha;Blu-Ray/DVD + DVD;Coleccionista;3;Makoto Shinkai;2011;Animación. Fantástico. Aventuras. Drama;Selecta Visión. Viz Media. 20th Century Fox. Pelicula en DVD y BR. Incluye DVD de extras y libro. Edición.2013;
El jardín de las palabras;Blu-Ray/DVD;Coleccionista;2;Makoto Shinkai;2013;Animación. Drama. Romance | Adolescencia;Selecta Visión. CoMix Wave Films. 20th Century Fox. Mediometraje (46min). Ed. 2014;
One Piece: La película;Blu-Ray;Amaray Rojo;1;Atsuji Shimizu;2000;Animación. Aventuras. Comedia. Fantástico. Acción;Selecta Visión. Toei Animation. 20th Century Fox. Mediometraje (51 min)  Film 1. Edición 2017;
One Piece: Aventura en la Isla Espiral;Blu-Ray;Amaray Rojo;1;Atsuji Shimizu;2001;Animación. Aventuras. Comedia. Fantástico. Acción;Selecta Visión. Toei Animation. 20th Century Fox. Mediometraje (55 min) Film 2. Extra: Especial Jango's Dance Carnival (5 min). Edición 2017;
One Piece. El reino de Chopper en la isla de los animales raros;Blu-Ray;Amaray Rojo;1;Atsuji Shimizu;2002;Animación. Aventuras. Comedia. Fantástico. Acción;Selecta Visión. Toei Animation. 20th Century Fox. Mediometraje (56 min) Film 3. Extra: Especial Soccer King (6 min). Edición 2017;
One Piece. La aventura sin salida;Blu-Ray;Amaray Rojo;1;Kônosuke Uda;2003;Animación. Aventuras. Comedia. Fantástico. Acción;Selecta Visión. Toei Animation. 20th Century Fox. Film 4. Edición 2017;
One Piece: La maldición de la espada sagrada;Blu-Ray;Amaray Rojo;1;Kazuhisa Takenouchi;2004;Animación. Aventuras. Comedia. Fantástico;Selecta Visión. Toei Animation. 20th Century Fox. Film 5. Extra: Baseball (5 min).  Edición 2017;
One Piece: El barón Omatsuri y la Isla Secreta;Blu-Ray;Amaray Rojo;1;Mamoru Hosoda;2005;Animación. Aventuras. Fantástico. Acción;Selecta Visión. Toei Animation. 20th Century Fox. Film 6. Edición 2017;
One Piece: El gran soldado mecánico del castillo Karakuri;Blu-Ray;Amaray Rojo;1;Kônosuke Uda;2006;Animación. Aventuras. Comedia. Fantástico | Piratas;Selecta Visión. Toei Animation. 20th Century Fox. Film 7. Edición 2017;
One Piece: Episodio de Arabasta: La princesa del desierto y los piratas;Blu-Ray;Amaray Rojo;1;Takahiro Imamura;2007;Animación. Aventuras. Comedia. Fantástico | Piratas.;Selecta Visión. Toei Animation. 20th Century Fox. Film 8. Edición 2017;
One Piece: Episodio de Chopper: Episodio de Chopper Plus: Florece el invierno, el milagro de los cerezos;Blu-Ray;Amaray Rojo;1;Junji Shimizu;2008;Animación. Aventuras. Comedia. Fantástico;Selecta Visión. Toei Animation. 20th Century Fox. Film 9. Edición 2017;
One Piece: Strong World;Blu-Ray;Amaray Rojo;1;Munehisa Sakai;2009;Animación. Aventuras. Comedia. Fantástico;Selecta Visión. Toei Animation. 20th Century Fox. Film 10. Edición 2016 (Se lanzarón junto con Gold para el lanzamiento en cines en España);
One Piece 3D: Persecución del sombrero de paja;Blu-Ray 3D;Amaray Rojo;1;Hiroyuki Sato;2011;Animación. Comedia. Aventuras | Piratas. Manga;Selecta Visión. Toei Animation. 20th Century Fox. Mediometraje (30 min) Edición 2017;
One Piece Film Z;Blu-Ray;Amaray Rojo;1;Tatsuya Nagamine;2012;Animación. Comedia. Aventuras | Piratas.;Selecta Visión. Toei Animation. 20th Century Fox. Film 11. Edición 2016 (Se lanzarón junto con Gold para el lanzamiento en cines en España);
One Piece Gold;Blu-Ray;Amaray Rojo;1;Hiroaki Miyamoto;2016;Animación. Aventuras. Comedia | Piratas.;Selecta Visión. Toei Animation. 20th Century Fox. Film 12. Doblaje al catalán. Edición 2016;
El viaje de Chihiro;Blu-Ray/DVD;Coleccionista;2;Hayao Miyazaki;2001;Animación. Fantástico. Aventuras | Dragones.;Vértigo. Studio Ghibli. Distribuido por Sony. Ed. Coleccionista en caja negra. Pelicula en DVD y BR en digipack de tres palas, sin funda de cartón. Incluye Doble poster, 3 láminas, libro de 56 páginas y Moneda de metal exclusiva de Studio Ghibli con relieve de Chihiro.;
Akira;Blu-Ray/DVD + DVD + CD;A4;4;Katsuhiro ?tomo;1988;Animación. Ciencia ficción. Acción. Thriller | Cyberpunk. Thriller futurista.;Selecta Visión. Kodansha. 20th Century Fox. Pelicula en DVD y BR + DVD de extras + CD con la BSO. Caja contenedora tamaño A4. Artbook A4 de 56 pág. Libro A4 de 32 pág. Incluye Steelbook de Akira con hueco para dos discos. Edición limitada Nº 0896/1000 y exclusiva salón del manga XXIV;
Your Name;Blu-Ray/DVD + Blu-Ray + CD;A4;4;Makoto Shinkai;2016;Animación. Drama. Romance. Fantástico;Selecta Visión. TOHO. CoMix Wave Films. 20th Century Fox. Pelicual en DVD y BR, BR de extras y CD con BSO. Caja contenedora tamaño A4. Incluye Digipack especial (transparente), Libro A4 de 100 pág. Libro A4 de 28 pág. Del estreno en cines. 4 postales exclusivas. Bolsa de tela. Pulsera. Diseño de portada para el CD. Edición coleccionista limitada  y numerada Nº 902/1000. Edición 2018;
Your Name;Blu-Ray/Blu-Ray + CD;Digipack Coleccionista;3;Makoto Shinkai;2016;Animación. Drama. Romance. Fantástico;Selecta Visión. CoMix Wave Films;
Your Name;Blu-Ray/Blu-Ray + CD;Salón del manga Coleccionista;3;Makoto Shinkai;2016;Animación. Drama. Romance. Fantástico;Selecta Visión. CoMix Wave Films;
Ghost in the Shell 2: Innocence;Blu-Ray/DVD + DVD;Digipack Coleccionista;3;Mamoru Oshii;2004;Animación. Ciencia ficción. Acción. Fantástico;Selecta Visión. Production I.G. 20th Century Fox. Pelicula en DVD y BR. Incluye DVD con music video anthology. Incluye libreto de 32 páginas.;
Ghost in the Shell 2: Innocence;Blu-Ray/DVD;Coleccionista;2;Mamoru Oshii;2004;Animación. Ciencia ficción. Acción. Fantástico;Selecta Visión. Production I.G. Distribuido por Sony. Ed. Coleccionista con amaray azul pelicula en DVD y BR, funda de cartón. Incluye libreto de 24 páginas. Ed. 2012;
Millennium Actress;DVD;Coleccionistas;2;Satoshi Kon;2001;Animación. Fantástico. Romance. Drama;Selecta Visión.  Pelicula en DVD y DVD de extras. Digipack dentro de caja con tapa. 2 postales e ilustración firmada por Satoshi Kon (0049/1499). Libro 95 pág. Sitges 2001. Edición limitada 1125-1499. Edición 2006;
Super Dimension Century Orguss 02;DVD;Sencilla;1;Fumihiko Takayama;1993;Animación. Ciencia ficción. Acción. Aventuras | Robots;Selecta Visión. Manga. J.C. Staff. Serie de 6 Ovas. Serie completa. Ed. 2004;
Vexille;DVD;Sencilla;2;Fumihiko Sori;2007;Animación. Ciencia ficción | Cyberpunk;Aurum Produciones. Edición especial 2 discos;
Appleseed;DVD;Sencilla;1;Kazuyoshi Katayama;1988;Animación. Ciencia ficción. Acción | Robots. Crimen;Selecta Visión. Manga. Bandai Visual. Distribuido por Walt Disney. Ed. 2003;
Men in Black International;Blu-Ray;Steelbook;2;F. Gary Gray;2019;Ciencia ficción. Acción. Comedia | Extraterrestres.;Sony. Columbia Pictures. Amblin Entertainment. Incluye BR de extras. Edición Steelbook con Pawny en portada.;
Vanilla Sky;Blu-Ray;Sencilla;1;Cameron Crowe;2001;Drama. Intriga. Thriller. Romance | Remake;Paramount. Distribuido por Sony Pictures. CW Productions. Edición 2019. Tom Cruise, Cameron Diaz, Penélope Cruz.;Caja 3, debajo cama (1)
Mortal Engines;Blu-Ray;Sencilla;1;Christian Rivers;2018;Ciencia ficción. Acción. Aventuras;Universal. Distribuido por Sony Pictures.;Caja 3, debajo cama (1)
Quien a hierro mata;Blu-Ray;Sencilla;1;Paco Plaza;2019;Thriller | Drogas. Venganza;Vaca films. ATRESMEDIA Cine. Distribuido por Sony Pictures.;Caja 3, debajo cama (1)
Mascotas;Blu-Ray;Sencilla;1;Chris Renaud, Yarrow Cheney;2016;Animación. Comedia | Animales;Universal. Pack con las dos peliculas, en funda de cartón. Illumination. Incluye 5 mini peliculas. Incluye audio catalán.;
Mascotas 2;Blu-Ray;Sencilla;1;Chris Renaud, Jonathan del Val;2019;Animación. Aventuras. Comedia | Animales.;Universal. Pack con las dos peliculas, en funda de cartón. Illumination. Incluye 5 mini peliculas. Incluye audio catalán.;
Spider-Man: Homecoming;Blu-Ray;Sencilla;2;Jon Watts;2017;Fantástico. Acción. Comedia. Ciencia ficción;Distribuido por Sony. Columbia Pictures. Certified Fresh Rotten Tomatoes.;
Ninja Turtles: Fuera de las sombras;Blu-Ray;Steelbook;3;Dave Green;2016;Ciencia ficción. Acción | Superhéroes. Cómic. Ninjas.;Paramount Pictures, Nickelodeon Movies, Platinum Dunes. Pelicula en DVD y Blu-Ray. Incluye DVD de extras.;
Los pitufos: La aldea escondida;Blu-Ray;Steelbook;2;Kelly Asbury;2017;Animación. Fantástico. Comedia. Aventuras. Infantil;Distribuido por Sony. Incluye pelicula en DVD y Blu-Ray y doblaje en catalán.;
La novia de Frankenstein;Blu-Ray;Pack Blu-Ray Sencillo;1;James Whale;1935;Terror. Ciencia ficción | Secuela. Monstruos;Pack Montruos clásicos Colección esencial Universal.;
La mujer y el Monstruo;Blu-Ray;Pack Blu-Ray Sencillo;1;Jack Arnold;1954;Terror. Aventuras. Ciencia ficción | Monstruos;"Pack Montruos clásicos Colección esencial Universal. Titulo original: ""Creature from the Black Lagoon"".";
Dracula;Blu-Ray;Pack Blu-Ray Sencillo;1;Tod Browning;1931;Terror | Vampiros;Pack Montruos clásicos Colección esencial Universal.;
El doctor Frankenstein;Blu-Ray;Pack Blu-Ray Sencillo;1;James Whale;1931;Terror. Ciencia ficción | Monstruos. Película de culto;Pack Montruos clásicos Colección esencial Universal.;
El hombre invisible;Blu-Ray;Pack Blu-Ray Sencillo;1;James Whale;1933;Ciencia ficción. Thriller. Terror. Intriga. Comedia;Pack Montruos clásicos Colección esencial Universal.;
La momia;Blu-Ray;Pack Blu-Ray Sencillo;1;Karl Freund;1932;Terror. Romance | Antiguo Egipto;Pack Montruos clásicos Colección esencial Universal.;
El hombre lobo;Blu-Ray;Pack Blu-Ray Sencillo;1;George Waggner;1941;Terror. Fantástico | Hombres lobo;Pack Montruos clásicos Colección esencial Universal.;
El fantasma de la ópera;Blu-Ray;Pack Blu-Ray Sencillo;1;George Waggner;1943;Terror | Ópera;Pack Montruos clásicos Colección esencial Universal.;
Drácula;Blu-Ray;Pack Blu-Ray Sencillo;1;John Badham;1979;Terror. Fantástico | Vampiros;Pack Montruos clásicos Colección esencial Universal.;
Un tipo Genial;DVD;Sencilla;1;Bill Forsyth;1983;Comedia. Drama | Comedia dramática.;Local Hero. La casa del Cine Cara todos. Musica Mark Knopfler;
La Cortina de Humo;DVD;Sencilla;1;Barry Levinson;1997;Comedia;Wag the Dog. Warner Bros. New Line Cinema. Musica Mark Knopfler;
Camino hacia la Gloria;DVD;Sencilla;1;Michael Corrente;2000;Drama | Deporte. Fútbol;A Shot at Glory. Eone. Distribuido por Aurum Producciones. Musica Mark Knopfler;
Última salida Brooklyn;DVD;Sencilla;1;Uli Edel;1989;Drama | Años 50. Prostitución.;Last Exit to Brooklyn. La casa del cine para todos. Alemania del Oeste. Musica Mark Knopfler;
Alien Covenant;Blu-Ray;Sencilla;1;Ridley Scott;2017;Ciencia ficción. Terror | Extraterrestres.;20th Century Fox.;Caja 3, debajo cama (1)
28 días después;Blu-Ray;Sencilla;1;Danny Boyle;2002;Terror. Ciencia ficción. Thriller | Zombis.;20th Century Fox. Fox Searchlight. DNA Films. UK Film Council;Caja 3, debajo cama (1)
28 semanas después;Blu-Ray;Sencilla;1;Juan Carlos Fresnadillo;2007;Terror. Ciencia ficción. Thriller | Zombis.;20th Century Fox. DNA Films. UK Film Council. Figment Film ;Caja 3, debajo cama (1)
Titanic;Blu-Ray;Sencilla;2;James Cameron;1997;Romance. Drama. Aventuras | Drama romántico.;20th Century Fox. Paramount Pictures. Incluye Blu-Ray de Extras. 2 Nuevos documentales y más de 6 hortas de material.;Caja 3, debajo cama (1)
El club de los poetas muertos;Blu-Ray;Sencilla;1;Peter Weir;1989;Drama | Enseñanza. Colegios & Universidad.;Divisa. Alfa Pictures. Touchstone Pictures. Silver Screen Partners IV;Caja 2, debajo cama (2)
Infiltrados en clase;Blu-Ray;Sencilla;1;Phil Lord, Christopher Miller;2012;Comedia. Acción | Policíaco. Drogas.;Columbia Pictures / Metro-Goldwyn-Mayer (MGM). Caja Amaray con las dos peliculas en dos discos;Caja 3, debajo cama (1)
Infiltrados en la universidad;Blu-Ray;Sencilla;1;Phil Lord, Christopher Miller;2014;Comedia. Acción | Buddy Film. Policíaco.;Columbia Pictures / Metro-Goldwyn-Mayer (MGM). Caja Amaray con las dos peliculas en dos discos;Caja 3, debajo cama (1)
Dolor y Dinero;Blu-Ray;Sencilla;1;Michael Bay;2013;Comedia. Acción | Basado en hechos reales. Años 90. Comedia negra;Paramount Pictures / De Line Pictures. Pain & Gain;Caja 3, debajo cama (1)
DéJà Vu;Blu-Ray;Sencilla;1;Tony Scott;2006;Thriller. Acción. Ciencia ficción. Drama;Divisa. Scott Free Productions / Touchstone Pictures. Jerry Bruckheimer Films / FortyFour Studios. Denzel Washington;Caja 3, debajo cama (1)
El Becario;Blu-Ray;Sencilla;1;Nancy Meyers;2015;Comedia. Drama | Moda. Trabajo/empleo. Amistad;Warner Bros. Waverly Films.;Caja 3, debajo cama (1)
Banderas de Nuestros padres;Blu-Ray;Sencilla;1;Clint Eastwood;2006;Bélico. Drama | II Guerra Mundial.;Warner Bros. DreamWorks Pictures. Malpaso Productions.;Caja 3, debajo cama (1)
Cartas desde Iwo Jima;Blu-Ray;Sencilla;1;Clint Eastwood;2006;Bélico | II Guerra Mundial;Warner Bros. DreamWorks Pictures. Malpaso Productions. Amary azul reciclable;Caja 3, debajo cama (1)
Apocalypse Now;Blu-Ray/DVD;Sencilla;2;Francis Ford Coppola;1979;Bélico. Drama | Guerra de Vietnam. Película de culto;Divisa. Zoetrope Studios. Paramount Pictures. Studio Canal.;Caja 2, debajo cama (2)
Zona Hostil;Blu-Ray;Sencilla;1;Adolfo Martínez Pérez;2017;Bélico | Guerra de Afganistán. Ejército. Basado en hechos reales;Eone. Tornasol Films. Castafiore Films. Hernández y Fernández P.C. Televisión Española. Movistar+;Caja 2, debajo cama (2)
El único superviviente;Blu-Ray;Sencilla;1;Peter Berg;2013;Bélico. Acción. Drama | Basado en hechos reales.;Eone. Georgia Film Fund Seventeen Holdings. Film 44. Spikings Entertainment;Caja 2, debajo cama (2)
El Francotirador;Blu-Ray;Sencilla;1;Clint Eastwood;2014;Bélico. Drama | Biográfico. Ejército. Guerra de Iraq;Warner Bros. Village Roadshow Pictures. ;Caja 3, debajo cama (1)
Land of Mine (Bajo la arena);Blu-Ray;Sencilla;1;Martin Zandvliet;2015;Bélico. Drama | Años 40. II Guerra Mundial. Ejército.;A Contracorriente films. Amusement Park Films / Nordisk Film. Dinamarca.;
Intocable;Blu-Ray;Sencilla;1;Olivier Nakache, Eric Toledano;2011;Comedia. Drama | Comedia dramática. Discapacidad. Amistad;A Contracorriente Films. Quad Productions / Gaumont / TF1 Films Production;
Interstellar;Blu-Ray;Sencilla;1;Christopher Nolan;2014;Ciencia ficción. Drama. Aventuras;Warner Bros. Syncopy Production / Paramount Pictures / Legendary Pictures;Caja 3, debajo cama (1)
El día de Mañana;Blu-Ray;Sencilla;1;Roland Emmerich;2004;Ciencia ficción. Acción | Catástrofes. Fin del mundo.;20th Century Fox. Centropolis Entertainment. Lions Gate Films;Caja 3, debajo cama (1)
I am a Hero;Blu-Ray;Amaray Rojo;1;Shinsuke Sato;2015;Terror. Acción. Comedia | Zombis. Gore;M3 (Mediatres estudio) Winds of Asia. Con Slip Cover. Caja Amaray roja. Incluye libreto y making of;
War Horse (Caballo de batalla);Blu-Ray;Sencilla;1;Steven Spielberg;2011;Bélico. Drama | I Guerra Mundial. Animales. Caballos.;DreamWorks Pictures. Distribuido por Walt Disney Company.;Caja 2, debajo cama (2)
Stalingrado;Blu-Ray;Sencilla;1;Fedor Bondarchuk;2013;Bélico. Acción. Drama | II Guerra Mundial.;Distribuido por Sony. Art Pictures Studio. Non-Stop Productions. Rusia;Caja 3, debajo cama (1)
Bohemian Rhapsody;Blu-Ray;Digibook;1;Bryan Singer;2018;Drama | Biográfico. Música. Años 70. Años 80.;"Formato digibook, disco en sobre y slip cover. Coproducción Reino Unido-Estados Unidos; 20th Century Fox. Distribuida por 20th Century Fox";
Bohemian Rhapsody;Blu-Ray;Steelbook;1;Bryan Singer;2018;Drama | Biográfico. Música. Años 70. Años 80.;"Coproducción Reino Unido-Estados Unidos; 20th Century Fox. Distribuida por 20th Century Fox";
El furor del dragón;Blu-Ray;Pack Amaray gordo;1;Bruce Lee;1972;Acción | Artes marciales;Selecta Visión. Fortune Star. 20th Century Fox.;
Furia Oriental (Fist of Fury);Blu-Ray;Pack Amaray gordo;1;Lo Wei;1972;Acción | Artes marciales;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Kárate a muerte en Bangkok;Blu-Ray;Pack Amaray gordo;1;Lo Wei, Wu Chia-Hsiang;1971;Acción. Drama. Thriller | Crimen. Artes marciales;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Juego con la muerte (Game of Death);Blu-Ray;Pack Amaray gordo;1;Robert Clouse;1978;Acción | Artes marciales;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Bruce Lee la leyenda;DVD;Pack Amaray gordo;1;Leonard Ho Productions;1984;Documental | Biográfico;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Bruce Lee, el hombre y la Leyenda;DVD;Pack Amaray gordo;1;Shih Wu;1973;Documental | Documental sobre cine. Biográfico.;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Lo mejor de las artes marciales;DVD;Pack Amaray gordo;1;Sandra Weintraub Roland;1992;Documental | Documental sobre cine. Artes marciales;Selecta Visión. Fortune Star. 20th Century Fox. Pack edición 70 aniversario con funda cartón. Ed. 2013;
Elysium;Blu-Ray;Sencilla;1;Neill Blomkamp;2013;Ciencia ficción. Acción | Distopía;Distribuida por Sony. Media Rights Capital. QED International. Master en 4K;
Juegos de Guerra;Blu-Ray;Sencilla;1;John Badham;1983;Intriga. Thriller. Ciencia ficción | Holocausto nuclear.;20th Century Fox. Metro-Goldwyn-Mayer (MGM);
Comando;Blu-Ray;Sencilla;1;Mark L. Lester;1985;Acción. Thriller | Venganza. Secuestros / Desapariciones;20th Century Fox. SLM Production / Group Silver Pictures. Arnold Schwarzenegger;
Terminator Salvation;Blu-Ray;Sencilla;1;McG;2009;Ciencia ficción. Fantástico. Acción;Distribuido por Sony. Warner Bros. Columbia Pictures. The Halcyon Company;
Terminator;Blu-Ray;Sencilla;1;James Cameron;1984;Ciencia ficción. Acción | Robots. Viajes en el tiempo.;Arnold Schwarzenegger. 20th Century Fox. Metro-Goldwyn-Mayer (MGM). Orion. Amary azul reciclable;
El vuelo (Flight);Blu-Ray;Sencilla;1;Robert Zemeckis;2012;Drama | Alcoholismo. Aviones. Catástrofes;Tripictures. Paramount Pictures. ImageMovers. Denzel Washington.;
Sully;Blu-Ray;Sencilla;1;Clint Eastwood;2016;Drama | Basado en hechos reales. Aviones;Tom Hanks. Warner Bros. Village Roadshow. Malpaso Productions. Flashlight Films. The Kennedy. Amary azul reciclable;
Forrest Gump;Blu-Ray;Sencilla;2;Robert Zemeckis;1994;Comedia. Drama. Romance | Años 60. Años 70. Discapacidad.;Tom Hanks. Paramount Pictures. Incluye BR de extras;
Náufrago;Blu-Ray;Sencilla;1;Robert Zemeckis;2000;Aventuras. Drama | Supervivencia;Tom Hanks. 20th Century Fox. DreamWorks SKG. ImageMovers. Playtone;
La Terminal;Blu-Ray;Sencilla;1;Steven Spielberg;2004;Comedia. Drama. Romance | Comedia dramática.;Tom Hanks. Paramount. DreamWorks Pictures;
Jack Reacher;Blu-Ray/DVD;Sencilla;2;Christopher McQuarrie;2012;Acción. Thriller | Crimen;Tom Cruise. Paramount Pictures. Skydance Productions. Combo DVD/BR;
Kenshin el Guerrero Samurái;Blu-Ray;Sencilla;1;Keishi Ohtomo;2012;Drama. Acción | Samuráis. Siglo XIX. Japón feudal. Manga.;M3 (Mediatres estudio) Winds of Asia. Warner Bros Pictures. IMJ Entertainment. RoC Works Co. Sitges 2012. Audio Catalán;
El Gran Azul;Blu-Ray;Sencilla;1;Luc Besson;1988;Aventuras. Drama | Submarinismo. marinas.;Divisa. Gaumont. Jean Reno;
Los Chicos del Coro;Blu-Ray;Sencilla;1;Christophe Barratier;2004;Drama. Comedia | Infancia. Enseñanza. Años 40;Divisa. Galatée Films. Pathé Renn Productions. France 2 Cinema;
Ejecución Inminente;Blu-Ray;Sencilla;1;Clint Eastwood;1999;Intriga. Thriller;Warner Bros. Zanuck Company. Malpaso Productions. Amary azul reciclable;
Training Day;Blu-Ray;Sencilla;1;Antoine Fuqua;2001;Thriller. Acción | Crimen. Policíaco. Drogas.;Denzel Washington. (Dia de Entrenamiento) Warner Bros. Village Roadshow. NPV Entertainment. Amary azul reciclable;
2 Guns;Blu-Ray;Sencilla;1;Baltasar Kormákur;2013;Thriller. Acción. Comedia | Policíaco. Crimen. Cómic.;Mark Wahlberg, Denzel Washington. Distribuido por Twentieth Home España. Sony. Universal Pictures. EFO Films. Boom Entertainment.;
El Lobo de Wall Street;Blu-Ray;Sencilla;1;Martin Scorsese;2013;Comedia. Drama | Comedia negra. Biográfico. Bolsa & Negocios;Leonardo DiCaprio. Universal. Paramount Pictures. Red Granite Pictures.;
District 9;Blu-Ray;Sencilla;1;Neill Blomkamp;2009;Ciencia ficción. Thriller. Acción | Extraterrestres.;Coproducción Sudáfrica-Nueva Zelanda. Distribuido por Sony. TriStar Pictures. QED International. Con Slip Cover;
Ocho Apellidos Vascos;Blu-Ray;Sencilla;1;Emilio Martínez-Lázaro;2014;Comedia. Romance | Comedia romántica;Universal. Lazonafilms. Kowalski Films. Telecinco Cinema. Snow Films. Pack funda cartón con las dos peliculas en dos Amaray.;
Ocho Apellidos Catalanes;Blu-Ray;Sencilla;1;Emilio Martínez-Lázaro;2015;Comedia. Romance | Comedia romántica.;Universal. Telecinco Cinema / Lazonafilms / Mogambo. Pack funda cartón con las dos peliculas en dos Amaray.;
¡Mamma Mia! La película;Blu-Ray;Pack Blu-Ray Sencillo;1;Phyllida Lloyd;2008;Musical. Comedia. Romance | Música. Bodas;Universal Pictures. Littlestar Productions. Legendary. Coproducción Reino Unido-Estados Unidos-Alemania. Pack con funda de cartón de las 2 peliculas en 1 amaray.;
Mamma Mia: Una y otra vez;Blu-Ray;Pack Blu-Ray Sencillo;1;Ol Parker;2018;Musical. Comedia. Romance | Secuela. Precuela;Universal Pictures. Legendary Pictures. Pack con funda de cartón de las 2 peliculas en 1 amaray.;
Ip Man La leyenda;Blu-Ray;Sencilla;1;Herman Yau;2010;Acción | Artes marciales. Biográfico. Precuela;"Karma Films. ISAAN. Especie de precuela del biopic del ""maestro de Bruce Lee""";Caja 2, debajo cama (2)
Leviathan. El demonio del abismo;Blu-Ray;Sencilla;1;George Pan Cosmatos;1989;Ciencia ficción. Fantástico. Terror | Monstruos;"Coproducción Estados Unidos-Italia; Metro-Goldwyn-Mayer (MGM). Ref. 4499";Caja 1, debajo cama (2)
Cadena perpetua;Blu-Ray;Sencilla;1;Frank Darabont;1994;Drama | Drama carcelario. Amistad. Años 40.;Feel Films. Distribuido por Research Entertainment. Resen. Castle Rock Entertainment. Columbia Pictures. Relato: Stephen King. Resen. Ref. 355;Caja 1, debajo cama (2)
Las colinas tienen ojos;Blu-Ray;Sencilla;1;Alexandre Aja;2006;Terror. Thriller | Slasher. Gore. Remake;20th Century Fox. Craven. Maddalena Films. Dune Entertainment ;Caja 3, debajo cama (1)
Ca$h (Cash);Blu-Ray;Sencilla;1;Stephen Milburn Anderson;2010;Thriller | Crimen. Mafia;Universal. Immortal Thoughts / Three Good Men;Caja 3, debajo cama (1)
Pacific Rim Insurreción;Blu-Ray;Sencilla;1;Steven S. DeKnight;2018;Ciencia ficción. Acción | Robots. Monstruos. Secuela;Universal. Coproducción Estados Unidos-China. Double Dare You. Legendary Pictures;Caja 3, debajo cama (1)
Deep Blue Sea;Blu-Ray;Sencilla;1;Renny Harlin;1999;Terror. Acción. Ciencia ficción | Animales.;Warner Bros. Village Roadshow. Groucho Film Partnership. Amary azul reciclable;Caja 3, debajo cama (1)
Desafío Total;Blu-Ray;Sencilla;1;Paul Verhoeven;1990;Ciencia ficción. Acción | Distopía. Película de culto;Divisa. StudioCanal. Carolco Pictures. Distribuida por TriStar Pictures. Arnold Schwarzenegger;Caja 2, debajo cama (2)
Cantábrico;Blu-Ray;Amaray Negro;1;Joaquín Gutiérrez Acha;2017;Documental | Naturaleza. Animales. Osos;Cameo. WandaNatura. Wanda Films. Bitis;
El fin de los grandes Felinos;Blu-Ray;Sencilla;1;Jordi Llompart;2012;Documental | Naturaleza. Animales. Felinos.;Llamentol. TrackMedia. Incluye audio catalán;
Viaje Mágico a África;Blu-Ray/CD;Coleccionista;2;Jordi Llompart;2010;Aventuras. Fantástico. Infantil | África. 3-D;Llamentol. TrackMedia. Incluye audio catalán. Incluye CD audio con la banda sonora oficial.;
El Misterio del Nilo;Blu-Ray/CD;Coleccionista;2;Jordi Llompart;2005;Documental | Mediometraje;Llamentol. TrackMedia. MacGillivray Freeman Films / Orbita Max. Incluye CD audio con la banda sonora oficial.;
Grandes migraciones;Blu-Ray;Sencilla;2;Leslie Schwerin;2010;Serie de TV. Documental | Miniserie de TV. Naturaleza. Animales;National Geographic. Distribuido por TrackMedia. RBA. AVEI.  Dos discos con 4 y 3 episodios. ;
El Santuario;Blu-Ray;Sencilla;1;Alister Grierson;2011;Aventuras. Drama | Submarinismo;Aurum Produciones. Coproducción Australia-Estados Unidos. Universal Pictures. Relativity Studios. Productor: James Cameron;
